  1.53093314,  1.48452213,  1.44311113,  1.40670014,  1.37528914,  1.34887817,  1.32746699,  1.31105596,  1.29964494,  1.29323390,  1.28813564,  1.27696278,  1.26636169,  1.25633221,  1.24687418,  1.23798773,  1.22857907,  1.21821797,  1.20826608,  1.19941254,  1.19079545,  1.18241072,  1.17425828,  1.16633813,  1.15865029,  1.15119476,  1.14397154,  1.13698063,  1.13022203,  1.12369573,  1.11740174,  1.11134005,  1.10551067,  1.09991359,  1.09454877,  1.08941615,  1.08451276,  1.07875373,  1.07160667,  1.06461647,  0.98535425,  0.94472243,  0.91128596,  0.87947473,  0.85161045,  0.83903029,  0.83385154,  0.83365145
  1.53093313,  1.48452211,  1.44311109,  1.40670007,  1.37528905,  1.34887802,  1.32746700,  1.31105597,  1.29964495,  1.29323391,  1.29182280,  1.29541186,  1.30400072,  1.31016239,  1.30294852,  1.29615138,  1.28976984,  1.28380553,  1.27825083,  1.27082439,  1.26378155,  1.25699243,  1.25028513,  1.24416072,  1.23916645,  1.23424738,  1.22924339,  1.22314794,  1.21709615,  1.21109840,  1.20517760,  1.19933486,  1.19357032,  1.18788400,  1.18227536,  1.17674559,  1.17129398,  1.16592063,  1.16062556,  1.15540850,  1.07696939,  1.03112730,  1.01824423,  1.01962752,  1.02243482,  1.01758268,  1.01374778,  1.02248226
  1.53093313,  1.48452211,  1.44311108,  1.40670006,  1.37528904,  1.34887801,  1.32746699,  1.31105596,  1.29964494,  1.29323390,  1.29182278,  1.29540926,  1.29715984,  1.29487249,  1.29152301,  1.27812053,  1.26779291,  1.26194525,  1.25690093,  1.25265751,  1.24921698,  1.24657869,  1.24474073,  1.24068815,  1.23044187,  1.22062265,  1.21122796,  1.20239425,  1.19958363,  1.19765602,  1.19631741,  1.19556713,  1.19540509,  1.19583100,  1.19683066,  1.19492569,  1.18859789,  1.18256001,  1.17681983,  1.17137818,  1.17274230,  1.18227546,  1.21119275,  1.18401143,  1.16045229,  1.13763998,  1.11972993,  1.10924719
  1.53093314,  1.48452212,  1.44311110,  1.40670008,  1.37528906,  1.34887804,  1.32746702,  1.31105599,  1.29964495,  1.29323379,  1.29182281,  1.28798262,  1.28029023,  1.27326763,  1.26683006,  1.25899680,  1.25172561,  1.24591940,  1.24063523,  1.23586080,  1.23159664,  1.22753280,  1.22349006,  1.21984675,  1.21660540,  1.21376554,  1.21132818,  1.20929107,  1.20718813,  1.19925154,  1.19117012,  1.18325407,  1.17550542,  1.16792714,  1.16054353,  1.15345923,  1.14693920,  1.14062957,  1.13445208,  1.12841021,  1.03569070,  0.99443742,  0.96353845,  0.93157967,  0.90413817,  0.88143205,  0.86346268,  0.84986729
  1.53093319,  1.48452211,  1.44311110,  1.41377893,  1.39946162,  1.38656559,  1.37509085,  1.36503736,  1.35640516,  1.34919418,  1.34340429,  1.33903613,  1.32952966,  1.31851453,  1.30813247,  1.29838363,  1.28926765,  1.28078647,  1.27294628,  1.27045158,  1.26359787,  1.25678812,  1.25042451,  1.24449915,  1.23918368,  1.23507290,  1.22567270,  1.21545661,  1.20550827,  1.19580612,  1.18611367,  1.17831105,  1.17287642,  1.16859517,  1.16493913,  1.16153175,  1.15247766,  1.14738480,  1.14091516,  1.13266854,  1.05926772,  0.99451022,  0.93178665,  0.94237875,  1.09642024,  0.87933485,  0.86092886,  0.83990710
  1.53093314,  1.48452212,  1.44311111,  1.40670011,  1.37528913,  1.34887817,  1.32746699,  1.31105597,  1.30029019,  1.29268917,  1.28611671,  1.28057275,  1.27605725,  1.27257002,  1.27011203,  1.26018599,  1.24876411,  1.23783075,  1.22694882,  1.21861642,  1.21078130,  1.20325536,  1.19604041,  1.18913578,  1.18254137,  1.17625719,  1.17028329,  1.16461953,  1.15926603,  1.15422266,  1.14948949,  1.14506607,  1.14095187,  1.13715183,  1.13364909,  1.12687472,  1.11910030,  1.11153021,  1.10578343,  1.09958814,  1.01124988,  0.99555256,  0.98727039,  1.00505915,  0.99643603,  0.97985161,  0.97032518,  0.97074927
  1.53093315,  1.48452211,  1.44311109,  1.40670006,  1.37528904,  1.34887802,  1.32746701,  1.31105606,  1.29863461,  1.28698684,  1.27590907,  1.26539885,  1.25511323,  1.24511989,  1.23543649,  1.22606320,  1.21699995,  1.20824666,  1.19961766,  1.18981146,  1.18019114,  1.17076489,  1.16161085,  1.15381478,  1.14634995,  1.13915157,  1.13242063,  1.12687659,  1.12144512,  1.11610900,  1.11086863,  1.10572392,  1.10067492,  1.09572153,  1.09086377,  1.08610170,  1.08143527,  1.07686424,  1.07238905,  1.06800979,  0.98422223,  0.95094916,  0.95632575,  0.96377899,  0.94317741,  0.91666609,  0.89736314,  0.88539134
  1.53093314,  1.48452213,  1.44311112,  1.40670011,  1.37528910,  1.34887810,  1.32746709,  1.31105604,  1.29964502,  1.29323392,  1.29182582,  1.29844982,  1.30662149,  1.31616760,  1.32708809,  1.33938288,  1.35305188,  1.36809252,  1.38036575,  1.37813542,  1.37626103,  1.37391887,  1.37130343,  1.36873892,  1.36622365,  1.36375739,  1.36134039,  1.35897252,  1.35665354,  1.35438363,  1.35216355,  1.34999368,  1.34787384,  1.34580213,  1.34378003,  1.34180679,  1.33988314,  1.33800868,  1.33618358,  1.33440798,  1.30925215,  1.30382808,  1.30805459,  1.31265398,  1.33898354,  1.37874271,  1.43193391,  1.52744663
  1.53093313,  1.48452211,  1.44311109,  1.40670006,  1.37528904,  1.34887801,  1.32746699,  1.31105597,  1.29964494,  1.29323390,  1.29182274,  1.29541162,  1.29004741,  1.28296625,  1.27666990,  1.27115837,  1.26643165,  1.26248991,  1.25933293,  1.25696079,  1.25537350,  1.25457106,  1.25455294,  1.25532025,  1.25687232,  1.25920921,  1.26233093,  1.26623733,  1.27092927,  1.27346045,  1.26790466,  1.26272844,  1.25793467,  1.25352415,  1.24949203,  1.24584509,  1.24258009,  1.24480994,  1.25004338,  1.25582361,  1.29689451,  1.28771588,  1.30111850,  1.31204390,  1.27555460,  1.23503260,  1.19585332,  1.17782117
  1.53093314,  1.48452212,  1.44311110,  1.40670008,  1.37528908,  1.34887807,  1.32746705,  1.31105602,  1.29964497,  1.29323389,  1.29182288,  1.29379651,  1.28948907,  1.28663037,  1.27615530,  1.26528364,  1.25469567,  1.24432273,  1.23416513,  1.22609317,  1.21675161,  1.20749502,  1.19826163,  1.18905283,  1.18066641,  1.17704665,  1.17344744,  1.16988698,  1.16636244,  1.16286697,  1.15940470,  1.15597336,  1.15257348,  1.14920501,  1.14586829,  1.14256169,  1.13928566,  1.13601418,  1.13196731,  1.12754698,  1.05624687,  1.00741027,  0.95068092,  0.92322936,  0.88605201,  0.87855587,  0.85954179,  0.85752896
